discipline,research_topic,value_pounds_Non_Welsh,value_pounds_Welsh,number_of_projects_Non_Welsh,number_of_projects_Welsh,number_of_projects_Welsh_proportion
Arts and Humanities,african_south_africa_indian_ship,1257167.0,0.0,13.0,0.0,0.0
Arts and Humanities,architectural_architecture_building_architect_research,9107666.0,0.0,45.0,0.0,0.0
Arts and Humanities,archive_wale_history_record_welsh,25419677.0,3612160.0,56.0,23.0,0.2911392405063291
Arts and Humanities,art_italy_aesthetic_work_project,9437787.0,799989.0,75.0,2.0,0.025974025974025976
Arts and Humanities,art_live_artwork_research_image,3484979.0,88996.0,32.0,4.0,0.1111111111111111
Arts and Humanities,art_museum_exhibition_city_project,49523886.0,294837.0,235.0,7.0,0.028925619834710745
Arts and Humanities,artist_visual_art_research_image,19973782.0,18636.0,121.0,2.0,0.016260162601626018
Arts and Humanities,ceramic_evolutionary_evolution_interpretation_sex,1423958.0,0.0,18.0,0.0,0.0
Arts and Humanities,child_young_study_research_archaeological,4760311.0,563547.0,39.0,4.0,0.09302325581395349
Arts and Humanities,china_chinese_global_british_world,2973901.0,32786.0,32.0,1.0,0.030303030303030304
Arts and Humanities,christian_theology_tibetan_christianity_tradition,1221418.0,0.0,9.0,0.0,0.0
Arts and Humanities,church_gothic_parish_epic_worship,1705384.0,1552646.0,21.0,5.0,0.19230769230769232
Arts and Humanities,community_co_project_local_bristol,7928004.0,31945.0,46.0,1.0,0.02127659574468085
Arts and Humanities,concept_latin_birmingham_psychology_tradition,1090302.0,0.0,9.0,0.0,0.0
Arts and Humanities,concrete_wittgenstein_traveller_concept_text,234784.0,0.0,8.0,0.0,0.0
Arts and Humanities,cult_communist_durham_leader_stalin,180046.0,0.0,3.0,0.0,0.0
Arts and Humanities,cultural_culture_study_national_contemporary,51954369.0,1420739.0,209.0,8.0,0.03686635944700461
Arts and Humanities,dance_metaphor_norman_anglo_project,1448358.0,873669.0,17.0,1.0,0.05555555555555555
Arts and Humanities,data_research_project_digital_social,51798613.0,22810780.0,264.0,40.0,0.13157894736842105
Arts and Humanities,death_fashion_dead_funeral_festival,184492.0,0.0,9.0,0.0,0.0
Arts and Humanities,design_product_project_process_textile,221453004.0,23079000.0,114.0,12.0,0.09523809523809523
Arts and Humanities,design_research_designer_practice_creative,47986275.0,440473.0,217.0,15.0,0.06465517241379311
Arts and Humanities,dialect_woman_english_sexuality_scott,1898439.0,0.0,16.0,0.0,0.0
Arts and Humanities,digital_technology_game_new_interactive,7081115.0,3512816.0,57.0,11.0,0.16176470588235295
Arts and Humanities,diversity_conservation_high_biological_global,81330.0,0.0,2.0,0.0,0.0
Arts and Humanities,egyptian_egypt_mathematics_jazz_mathematical,991282.0,0.0,9.0,0.0,0.0
Arts and Humanities,family_empire_imperial_father_ottoman,494476.0,215530.0,8.0,5.0,0.38461538461538464
Arts and Humanities,"film_cinema_Film History, T & C_study_cinematic",8758985.0,0.0,46.0,0.0,0.0
Arts and Humanities,french_france_de_French Studies_work,4822142.0,132497.0,41.0,1.0,0.023809523809523808
Arts and Humanities,gaelic_red_mozart_newton_sublime,405705.0,0.0,5.0,0.0,0.0
Arts and Humanities,german_chapter_holocaust_theatre_shakespeare,2211852.0,85475.0,36.0,3.0,0.07692307692307693
Arts and Humanities,greek_ancient_classical_early_Classics,8629417.0,280371.0,66.0,2.0,0.029411764705882353
Arts and Humanities,growth_house_road_cape_height,97008.0,0.0,2.0,0.0,0.0
Arts and Humanities,heritage_museum_collection_object_history,29300447.0,830728.0,193.0,10.0,0.04926108374384237
Arts and Humanities,human_time_god_equality_christ,1763812.0,0.0,20.0,0.0,0.0
Arts and Humanities,identity_social_community_cultural_life,35808266.0,436888.0,253.0,12.0,0.045283018867924525
Arts and Humanities,irish_ireland_northern_belfast_conflict,18888.0,0.0,1.0,0.0,0.0
Arts and Humanities,japanese_name_colour_japan_ink,3071414.0,0.0,4.0,0.0,0.0
Arts and Humanities,jewish_jew_comic_hebrew_dickens,1883363.0,152396.0,16.0,2.0,0.1111111111111111
Arts and Humanities,king_royal_henry_charter_william,803021.0,14013.0,4.0,1.0,0.2
Arts and Humanities,knowledge_question_belief_one_evidence,7756700.0,0.0,40.0,0.0,0.0
Arts and Humanities,labour_worker_party_class_working,303783.0,0.0,8.0,0.0,0.0
Arts and Humanities,landscape_site_island_project_settlement,7439407.0,153510.0,60.0,8.0,0.11764705882352941
Arts and Humanities,language_linguistic_word_english_corpus,50170947.0,8785760.0,93.0,11.0,0.10576923076923077
Arts and Humanities,letter_correspondence_mary_life_collection,1818422.0,41760.0,9.0,2.0,0.18181818181818182
Arts and Humanities,life_memory_testimony_individual_everyday,3655184.0,0.0,21.0,0.0,0.0
Arts and Humanities,literary_literature_book_writing_writer,8919352.0,3074970.0,107.0,18.0,0.144
Arts and Humanities,manuscript_medieval_text_latin_catholic,9220328.0,1972649.0,48.0,5.0,0.09433962264150944
Arts and Humanities,medium_television_industry_production_bbc,4210350.0,247642.0,27.0,5.0,0.15625
Arts and Humanities,mental_mind_state_rock_experience,468502.0,32498.0,6.0,2.0,0.25
Arts and Humanities,music_musical_performance_musician_composer,25212619.0,1604005.0,152.0,8.0,0.05
Arts and Humanities,muslim_islamic_islam_tradition_newspaper,1963570.0,540762.0,19.0,2.0,0.09523809523809523
Arts and Humanities,natural_study_new_century_nature,4451511.0,157798.0,42.0,2.0,0.045454545454545456
Arts and Humanities,network_research_academic_art_creative,50434031.0,576931.0,442.0,18.0,0.0391304347826087
Arts and Humanities,painting_art_image_wall_amp,5296120.0,0.0,30.0,0.0,0.0
Arts and Humanities,performance_theatre_practice_project_research,25382132.0,864409.0,153.0,10.0,0.06134969325153374
Arts and Humanities,philosophy_theory_philosophical_thought_idea,7439215.0,150079.0,107.0,3.0,0.02727272727272727
Arts and Humanities,pilgrimage_sacred_cathedral_site_pilgrim,7340281.0,0.0,12.0,0.0,0.0
Arts and Humanities,policy_research_science_public_practice,164343726.0,31408152.0,315.0,34.0,0.09742120343839542
Arts and Humanities,political_state_period_policy_project,19282555.0,164090.0,154.0,5.0,0.031446540880503145
Arts and Humanities,prison_soldier_prisoner_australia_war,3101840.0,10510.0,14.0,1.0,0.06666666666666667
Arts and Humanities,project_art_quot_cultural_research,9370601.0,0.0,54.0,0.0,0.0
Arts and Humanities,project_medium_experience_new_social,59031807.0,31141782.0,207.0,39.0,0.15853658536585366
Arts and Humanities,quot_material_archaeological_object_site,31836746.0,4259029.0,130.0,16.0,0.1095890410958904
Arts and Humanities,radio_professor_research_dr_quot,6820286.0,34875.0,19.0,1.0,0.05
Arts and Humanities,religious_religion_india_indian_faith,15862780.0,506466.0,77.0,4.0,0.04938271604938271
Arts and Humanities,research_material_work_enclosure_fellowship,3435440.0,24628.0,20.0,1.0,0.047619047619047616
Arts and Humanities,ritual_bronze_temple_cornwall_age,0.0,505749.0,0.0,1.0,1.0
Arts and Humanities,roman_law_legal_period_empire,2260906.0,35339.0,21.0,1.0,0.045454545454545456
Arts and Humanities,running_victim_violence_abuse_enquiry,391146.0,0.0,2.0,0.0,0.0
Arts and Humanities,russian_slavery_slave_soviet_russia,9322094.0,25272.0,20.0,1.0,0.047619047619047616
Arts and Humanities,school_learning_teacher_education_craft,1990912.0,0.0,24.0,0.0,0.0
Arts and Humanities,science_change_environmental_scientific_climate,1411233.0,24601.0,9.0,1.0,0.1
Arts and Humanities,score_vocal_music_voice_dress,2230921.0,0.0,19.0,0.0,0.0
Arts and Humanities,scotland_scottish_opera_edinburgh_scot,2006457.0,0.0,5.0,0.0,0.0
Arts and Humanities,society_animal_social_right_freedom,1014212.0,0.0,19.0,0.0,0.0
Arts and Humanities,sound_speech_system_speaker_sonic,926477.0,0.0,8.0,0.0,0.0
Arts and Humanities,spanish_spain_history_refugee_exile,744248.0,0.0,16.0,0.0,0.0
Arts and Humanities,sport_ngo_foreign_diplomatic_diplomacy,1354372.0,0.0,12.0,0.0,0.0
Arts and Humanities,story_medical_body_training_medicine,502970.0,0.0,2.0,0.0,0.0
Arts and Humanities,student_university_education_dictionary_english,5059321.0,1107242.0,24.0,2.0,0.07692307692307693
Arts and Humanities,subjectivity_sensation_trial_k_quot,48980.0,0.0,1.0,0.0,0.0
Arts and Humanities,system_one_example_problem_also,6081812.0,0.0,35.0,0.0,0.0
Arts and Humanities,tale_antique_animated_diachronic_jewish,25823.0,0.0,1.0,0.0,0.0
Arts and Humanities,theory_truth_emotion_one_meaning,9246220.0,0.0,55.0,0.0,0.0
Arts and Humanities,translation_library_print_journal_material,29649513.0,459361.0,84.0,9.0,0.0967741935483871
Arts and Humanities,travel_new_modernist_ethic_debate,1276436.0,0.0,17.0,0.0,0.0
Arts and Humanities,user_research_older_may_solution,25901824.0,0.0,66.0,0.0,0.0
Arts and Humanities,value_cultural_genre_culture_amateur,1577178.0,1891235.0,18.0,5.0,0.21739130434782608
Arts and Humanities,video_dvd_audio_work_space,361886.0,30516.0,7.0,1.0,0.125
Arts and Humanities,volume_sermon_published_editorial_edition,2616846.0,0.0,18.0,0.0,0.0
Arts and Humanities,war_british_civil_military_political,9448963.0,182919.0,84.0,5.0,0.056179775280898875
Arts and Humanities,welfare_norwich_coin_financial_poor,614656.0,0.0,6.0,0.0,0.0
Arts and Humanities,woman_century_men_early_period,7355932.0,794957.0,73.0,6.0,0.0759493670886076
Arts and Humanities,woman_research_project_gender_amp,6064783.0,423032.0,73.0,4.0,0.05194805194805195
Arts and Humanities,work_crime_electronic_music_criminal,4080403.0,0.0,23.0,0.0,0.0
Engineering and Technology,aircraft_flight_wing_corrosion_artery,31395606.0,11161459.0,45.0,11.0,0.19642857142857142
Engineering and Technology,atom_matter_atomic_force_trap,31112531.0,5982555.0,36.0,9.0,0.2
Engineering and Technology,building_design_data_designer_new,24734755.0,127785.0,114.0,1.0,0.008695652173913044
Engineering and Technology,cell_fuel_brain_membrane_eeg,52235288.0,106381.0,80.0,1.0,0.012345679012345678
Engineering and Technology,cell_graphene_tissue_bone_stem,76059098.0,3295981.0,177.0,9.0,0.04838709677419355
Engineering and Technology,china_uk_ship_shipping_chinese,4757491.0,68192.0,23.0,7.0,0.23333333333333334
Engineering and Technology,control_system_pressure_design_force,2625724225.0,5900956.0,301.0,9.0,0.02903225806451613
Engineering and Technology,crystal_ice_exciton_polariton_high,29761096.0,111677.0,23.0,1.0,0.041666666666666664
Engineering and Technology,data_network_communication_signal_optical,150862916.0,1666627.0,95.0,4.0,0.04040404040404041
Engineering and Technology,device_light_semiconductor_silicon_optical,115275220.0,423454755.0,189.0,69.0,0.26744186046511625
Engineering and Technology,device_material_electric_film_field,89871561.0,5336830.0,160.0,15.0,0.08571428571428572
Engineering and Technology,disease_drug_cancer_blood_patient,206374033.0,11419782.0,255.0,18.0,0.06593406593406594
Engineering and Technology,drug_chiral_pharmaceutical_research_discovery,31501577.0,118672.0,70.0,2.0,0.027777777777777776
Engineering and Technology,dynamic_theory_ir_field_electron,8746158.0,0.0,18.0,0.0,0.0
Engineering and Technology,energy_power_system_electricity_generation,930196202.0,162684195.0,588.0,88.0,0.1301775147928994
Engineering and Technology,engine_combustion_fuel_emission_gas,51464947.0,0.0,122.0,0.0,0.0
Engineering and Technology,environment_energy_fabric_cleaning_human,263353109.0,0.0,104.0,0.0,0.0
Engineering and Technology,exhaust_filter_particulate_system_diagnostics,5986830.0,0.0,26.0,0.0,0.0
Engineering and Technology,f_pet_mg_method_l,1529987.0,1167200.0,8.0,4.0,0.3333333333333333
Engineering and Technology,flow_scale_turbulence_fluid_simulation,42559744.0,4936.0,90.0,1.0,0.01098901098901099
Engineering and Technology,fluid_effect_flow_jet_measurement,106236462.0,203284.0,149.0,2.0,0.013245033112582781
Engineering and Technology,frequency_laser_wavelength_application_high,65532756.0,733364.0,158.0,3.0,0.018633540372670808
Engineering and Technology,fuel_energy_co2_production_carbon,326781758.0,125173320.0,395.0,83.0,0.17364016736401675
Engineering and Technology,gel_wound_healing_sample_mixing,25406023.0,3144969.0,48.0,5.0,0.09433962264150944
Engineering and Technology,heat_thermal_fire_temperature_energy,150881807.0,7459926.0,280.0,52.0,0.1566265060240964
Engineering and Technology,imaging_image_resolution_technique_thz,259688170.0,2882871.0,357.0,9.0,0.02459016393442623
Engineering and Technology,injury_spring_tendon_japan_age,2222821.0,0.0,11.0,0.0,0.0
Engineering and Technology,ion_electron_radiation_energy_diamond,52458007.0,3446236.0,61.0,8.0,0.11594202898550725
Engineering and Technology,item_stfc_photon_parent_precipitation,2508370.0,0.0,6.0,0.0,0.0
Engineering and Technology,laser_optical_fibre_light_optic,217432097.0,1912661.0,117.0,7.0,0.056451612903225805
Engineering and Technology,laser_pulse_light_ray_source,76643057.0,0.0,128.0,0.0,0.0
Engineering and Technology,layer_electron_electrical_energy_structure,10081309.0,0.0,31.0,0.0,0.0
Engineering and Technology,light_led_nitride_lighting_gan,30135965.0,2726884.0,54.0,6.0,0.1
Engineering and Technology,lipid_pathway_project_impact_resistance,11073252.0,343364.0,43.0,1.0,0.022727272727272728
Engineering and Technology,liquid_surface_phase_gas_solid,128506585.0,310740.0,202.0,3.0,0.014634146341463415
Engineering and Technology,machine_control_project_month_feedback,79689456.0,619713750.0,45.0,85.0,0.6538461538461539
Engineering and Technology,magnetic_domain_wall_device_torque,15384987.0,572577.0,34.0,2.0,0.05555555555555555
Engineering and Technology,magnetic_field_nmr_resonance_electron,64765363.0,770894.0,154.0,11.0,0.06666666666666667
Engineering and Technology,make_way_one_also_like,237071535.0,4750186.0,162.0,13.0,0.07428571428571429
Engineering and Technology,material_alloy_high_temperature_coating,336204905.0,152036483.0,365.0,72.0,0.16475972540045766
Engineering and Technology,material_composite_fibre_structure_Materials Processing,185049709.0,157551523.0,215.0,88.0,0.29042904290429045
Engineering and Technology,material_grain_strain_deformation_fracture,20836096.0,318565.0,44.0,2.0,0.043478260869565216
Engineering and Technology,material_new_many_development_simulation,5313368.0,0.0,38.0,0.0,0.0
Engineering and Technology,material_polymer_property_application_structure,431083705.0,56099053.0,427.0,30.0,0.06564551422319474
Engineering and Technology,material_property_temperature_new_state,199015800.0,32404661.0,370.0,16.0,0.04145077720207254
Engineering and Technology,material_technology_channel_sodium_device,11899993.0,0.0,15.0,0.0,0.0
Engineering and Technology,membrane_te_mineral_separation_se,4007515.0,7011336.0,11.0,9.0,0.45
Engineering and Technology,metal_complex_cluster_bond_ligand,138134963.0,0.0,102.0,0.0,0.0
Engineering and Technology,method_simulation_problem_application_system,303729093.0,7301955.0,399.0,33.0,0.0763888888888889
Engineering and Technology,model_data_risk_uncertainty_site,1224474661.0,104015485.0,590.0,36.0,0.05750798722044728
Engineering and Technology,model_data_test_study_project,271913649.0,6512274.0,360.0,25.0,0.06493506493506493
Engineering and Technology,molecule_biological_new_molecular_structure,457587792.0,10050835.0,501.0,24.0,0.045714285714285714
Engineering and Technology,motion_lung_nanocomposites_scientific_facility,8618179.0,3193280.0,5.0,1.0,0.16666666666666666
Engineering and Technology,n_wire_chain_molecule_metal,2519091.0,326998.0,10.0,1.0,0.09090909090909091
Engineering and Technology,nano_self_assembly_nanoscale_Materials Processing,2688021.0,212353.0,13.0,4.0,0.23529411764705882
Engineering and Technology,network_energy_smart_project_system,41052406.0,498660.0,100.0,5.0,0.047619047619047616
Engineering and Technology,nuclear_waste_noise_sound_acoustic,258719654.0,0.0,182.0,0.0,0.0
Engineering and Technology,oil_reservoir_fuel_uk_supply,8992841.0,5141938.0,43.0,5.0,0.10416666666666667
Engineering and Technology,organic_film_material_device_display,103623430.0,17069876.0,200.0,31.0,0.1341991341991342
Engineering and Technology,particle_property_size_powder_mechanical,34750166.0,207739.0,101.0,2.0,0.019417475728155338
Engineering and Technology,patient_clinical_treatment_imaging_ultrasound,717544325.0,3520971.0,254.0,11.0,0.04150943396226415
Engineering and Technology,people_host_guest_older_distortion,35933229.0,0.0,57.0,0.0,0.0
Engineering and Technology,plasma_fusion_cement_high_gamma,270159025.0,5065857.0,69.0,9.0,0.11538461538461539
Engineering and Technology,process_surfactant_path_innovation_product,2048141.0,0.0,9.0,0.0,0.0
Engineering and Technology,program_sport_airport_air_exercise,6887711.0,0.0,21.0,0.0,0.0
Engineering and Technology,protein_peptide_acid_binding_beta,20761723.0,342364.0,96.0,1.0,0.010309278350515464
Engineering and Technology,quantum_system_state_information_classical,209245038.0,3281600.0,276.0,9.0,0.031578947368421054
Engineering and Technology,quot_bacteria_infection_bacterial_use,435511484.0,131150634.0,181.0,24.0,0.11707317073170732
Engineering and Technology,reaction_catalyst_chemical_synthesis_new,195334847.0,18422676.0,522.0,68.0,0.1152542372881356
Engineering and Technology,reaction_specie_chemical_energy_radical,21174148.0,296299.0,42.0,1.0,0.023255813953488372
Engineering and Technology,reactor_graphite_nuclear_component_neutron,16348231.0,0.0,38.0,0.0,0.0
Engineering and Technology,research_material_pipe_nuclear_high,292368924.0,102474540.0,128.0,150.0,0.539568345323741
Engineering and Technology,research_new_facility_instrument_equipment,1252184074.0,35922097.0,495.0,38.0,0.07129455909943715
Engineering and Technology,safety_driver_road_many_risk,36137081.0,0.0,73.0,0.0,0.0
Engineering and Technology,sensor_monitoring_detection_sensing_measurement,27115923.0,5900506.0,81.0,14.0,0.14736842105263157
Engineering and Technology,solar_cell_efficiency_energy_cost,119926414.0,202251167.0,161.0,70.0,0.30303030303030304
Engineering and Technology,spin_device_electron_magnetic_current,28173867.0,845862.0,74.0,5.0,0.06329113924050633
Engineering and Technology,stone_calcium_iron_bed_salt,4048876.0,0.0,21.0,0.0,0.0
Engineering and Technology,storage_hydrogen_energy_battery_electrode,146454840.0,47500128.0,110.0,19.0,0.14728682170542637
Engineering and Technology,structure_crack_structural_loading_material,92519260.0,22127689.0,302.0,20.0,0.062111801242236024
Engineering and Technology,structure_vibration_np_human_dynamic,7612713.0,0.0,28.0,0.0,0.0
Engineering and Technology,surface_coil_micro_inkjet_thickness,5256772.0,45722415.0,13.0,11.0,0.4583333333333333
Engineering and Technology,surface_molecule_structure_molecular_study,83346608.0,60224125.0,165.0,34.0,0.1708542713567839
Engineering and Technology,surface_use_used_small_material,109010450.0,42151502.0,209.0,22.0,0.09523809523809523
Engineering and Technology,system_food_brain_time_project,38417925.0,466294.0,75.0,7.0,0.08536585365853659
Engineering and Technology,technology_device_system_application_electronics,448866945.0,1096517472.0,250.0,265.0,0.5145631067961165
Engineering and Technology,technology_new_photonic_application_metamaterials,77492518.0,289784.0,67.0,2.0,0.028985507246376812
Engineering and Technology,tissue_cancer_diagnosis_skin_disease,51965597.0,17289903.0,113.0,39.0,0.2565789473684211
Engineering and Technology,track_railway_train_tunnel_rail,117784024.0,3735303.0,47.0,3.0,0.06
Engineering and Technology,traffic_bubble_needle_cavitation_lane,9595609.0,0.0,40.0,0.0,0.0
Engineering and Technology,transport_carbon_dioxide_climate_change,35013921.0,889542.0,45.0,6.0,0.11764705882352941
Engineering and Technology,urban_soil_city_climate_area,51045500.0,30719446.0,216.0,31.0,0.12550607287449392
Engineering and Technology,user_home_energy_people_care,24657890.0,14662900.0,42.0,7.0,0.14285714285714285
Engineering and Technology,vehicle_air_hybrid_electric_pressure,241563343.0,443871.0,117.0,3.0,0.025
Engineering and Technology,vortex_implant_super_joint_wear,11111832.0,0.0,48.0,0.0,0.0
Engineering and Technology,water_risk_system_project_flood,140705069.0,1270167.0,273.0,9.0,0.031914893617021274
Engineering and Technology,wave_structure_model_numerical_interaction,56249736.0,25931182.0,167.0,61.0,0.2675438596491228
Environmental Sciences,aerosol_model_burning_permafrost_climate,12798206.0,0.0,34.0,0.0,0.0
Environmental Sciences,aerosol_particle_cloud_atmosphere_organic,26321559.0,2927347.0,114.0,5.0,0.04201680672268908
Environmental Sciences,air_pollution_health_pollutant_quality,22293161.0,0.0,81.0,0.0,0.0
Environmental Sciences,amp_et_drought_edna_al,7403697.0,4938287.0,46.0,15.0,0.2459016393442623
Environmental Sciences,arctic_sea_ice_snow_polar,9045501.0,0.0,43.0,0.0,0.0
Environmental Sciences,ash_deposit_rock_material_age,11925198.0,3928113.0,90.0,10.0,0.1
Environmental Sciences,bacteria_resistance_host_dm_bacterial,11077325.0,435328.0,36.0,5.0,0.12195121951219512
Environmental Sciences,ca_mg_glider_acoustic_vehicle,1906028.0,456966.0,10.0,6.0,0.375
Environmental Sciences,carbon_forest_peat_peatlands_ecosystem,5943291.0,1271812.0,27.0,3.0,0.1
Environmental Sciences,carbon_shelf_sea_ocean_nutrient,19807320.0,66588.0,37.0,1.0,0.02631578947368421
Environmental Sciences,ch4_soil_emission_wetland_measurement,5470044.0,78277.0,28.0,1.0,0.034482758620689655
Environmental Sciences,climate_change_future_carbon_Climate & Climate Change,38234617.0,1666599.0,166.0,9.0,0.05142857142857143
Environmental Sciences,climate_change_impact_delta_ecosystem,7311847.0,0.0,32.0,0.0,0.0
Environmental Sciences,climate_change_quot_h_event,5181725.0,0.0,15.0,0.0,0.0
Environmental Sciences,climate_decision_urban_water_drought,25255341.0,25743271.0,120.0,32.0,0.21052631578947367
Environmental Sciences,climate_use_energy_land_catchment,20978221.0,671245.0,55.0,7.0,0.11290322580645161
Environmental Sciences,climate_west_change_model_pine,14481692.0,0.0,48.0,0.0,0.0
Environmental Sciences,cloud_wave_measurement_surface_weather,42057596.0,490258.0,145.0,2.0,0.013605442176870748
