,link,LAD13NM_LGDName,group_name,main_topic,clean_description
0,http://www.meetup.com/uxwales/,Cardiff,UX Wales,Design,"Welcome to UX Wales, based in Cardiff. If you're wondering where UX Bookclub has gone - we're it, but under a new name. We're looking to be for Wales what the amazing NUX is for North England and SWUX and so on. We'll be back in the summer with our first meet-up for a while, with less emphasis on books and more emphasis on UX."
1,http://www.meetup.com/South-Wales-Agile-Group/,Cardiff,South Wales Agile Group,Business,"This is a group for anyone interested in the use of agile to create a better way of working. Anyone is welcome, experience of agile methods isn't necessary. We'll be looking to share and learn from each other, listen to war stories, try and help those where we can."
2,http://www.meetup.com/Cardiff-SQL-Server-User-Group/,Cardiff,SQL Cardiff,Information Technology,"SQL Cardiff is a group dedicated to bringing it's members more knowledge about SQL Server whether it's straight database administration & development, business intelligence, or using it in scalable or cloud-based solutions."
3,http://www.meetup.com/unified-diff/,Cardiff,unified.diff,Programming,"For too long, Cardiff's software development community has been fragmented by language, discipline, and platform. unified.diff is a monthly meet-up for anybody involved or interested in the field of software development. We hold tech talks, and trade war stories"
4,http://www.meetup.com/BCS-South-Wales/,Cardiff,BCS South Wales,Programming,"BCS South Wales is the local branch of BCS, The Chartered Institute for IT (www.bcs.org), the professional body for IT professionals."
5,http://www.meetup.com/Wales-and-West-Windows-Applications-Group/,Cardiff,Wales and West - Windows Applications Group,Programming,A community of developers that actively create applications for the three new Windows platforms. These platforms include the following: - Windows 8 - Windows Phone 7 - Windows Phone 8
6,http://www.meetup.com/BigData-Wales/,Swansea,BigData Wales,Information Technology,"A data group that is all things to do with dealing with, managing, handling and delivering BigData, in Wales!. Topics include Data mining, data analysis, MySQL, NoSQL, Hadoop, MongoDB, Cassandra, Node.js, scaling, engineering data, open-source, linkeddata, and beer."
7,http://www.meetup.com/JS-Wales/,Swansea,JS Wales,Programming,"All things Javascript. Frameworks, libraries, usage and workshops. For those who know and those who don't. Workshops, events, miniconfs and beer. We meet every two weeks at the event space in TechHub Swansea. Other events, co-organisers and venues accross wales are also welcome. Please contact me for further information."
8,http://www.meetup.com/Digital-Insights/,Cardiff,Digital Insights,Programming,"An informal, quarterly meet up for those in the marketing or tech world in South Wales. Interesting speakers, friendly people & the first drink on us!"
9,http://www.meetup.com/DevOps-Cardiff/,Cardiff,DevOps Cardiff,Programming,"If you want to deliver better software faster, and live in or close to Cardiff, Wales - then this group is for you!"
10,http://www.meetup.com/Cardiff_wales_Graph_Databases-Meetup/,Cardiff,Cardiff Graph Databases Meetup,Information Technology,"Welcome to the Cardiff meetup for Neo4j, the world's leading graph database."
11,http://www.meetup.com/Swansea-Software-Development-Community/,Swansea,Swansea Software Development Community,Design,"This is a community for those who care and are proud of what they do. For those who are Developers, DBA's, Testers, Dev Ops, UX or UI, regardless how experienced they are, who want to improve."
12,http://www.meetup.com/Meteor-Cardiff/,Cardiff,Meteor Cardiff,Programming,"Meet other developers using Meteor. Share your knowledge, apps, and get feedback from others. Meteor is an open-source platform for building top-quality web apps in a fraction of the time, whether you're an expert developer or just getting started."
13,http://www.meetup.com/Cardiff-R-User-Group/,Cardiff,CaRdiff - the Cardiff R User Group,Information Technology,The Cardiff R User Group (CaRdiff) is aimed at folks looking to do data analysis more effectively.
14,http://www.meetup.com/Llansadwrn-Technite-Meetup/,Carmarthenshire,Llansadwrn Technite Meetup,Programming,We are a group of electronics and software developers interested in developing projects and debunking technology. We are looking to transfer skills to others interested in arduino and mobile technologies. No age limit or level of knowledge.
15,http://www.meetup.com/Swansea-Tech-Talk/,Swansea,Swansea Tech Talk,Programming,"Due to the phenomenal success of Yolk IT tech meet-ups and Hackathons in Cardiff and Bristol weâ€™re launching a quarterly Tech Talk in Swansea. This event will give anyone working or interested in Software Development and Architecture a chance to meet up with others in the industry as well as hear from an experts in the field. As with all out meet ups we bring the drinks and food, our speakers bring the expertise and the local tech community bring the enthusiasm and love for sharing best practice."
16,http://www.meetup.com/diff-NET/,Cardiff,diff.NET,Programming,"A Cardiff based community of developers that develop software using the Microsoft .NET framework. Looking to have meetings on a varied range of subjects including Enterprise, Apps, Web, IoT etc."
17,http://www.meetup.com/Websites-and-Blogs/,Pembrokeshire,Websites 'n' Blogs,Business,This is a group for anyone interested in having a website for blogging or business.
18,http://www.meetup.com/Cardiff-Tech-Talk/,Cardiff,Cardiff Tech Talk,Programming,"This event will give anyone working or interested in Software Development and Architecture a chance to meet up with others in the industry as well as hear from an experts in the field. As with all out meet ups we bring the drinks and food, our speakers bring the expertise and the local tech community bring the enthusiasm and love for sharing best practice."
19,http://www.meetup.com/Open-Data-Wales-Meetup/,Cardiff,Open Data Wales Meetup,Information Technology,"A meetup group for people interested in helping the open data movement grow in Wales. We particularly welcome developers, data wranglers, journalists, civil servants, visualisation people, storytellers, hackers, open source enthusiasts. You don't have to fit any of those descriptions, if you have an interest in open data and you're willing to contribute, you're welcome."
20,http://www.meetup.com/Cardiff-Software-Testers-Meetup/,Cardiff,Test and QA Wales Meetup,Business,"This group aims to provide a meeting place and regular events in Cardiff for anyone involved in testing products in an Agile environment. Come to meet fellow testers, share stories and experiences about tools and techniques which may, or may not, have solved testing problems on other Agile projects. This is a place of learning, where live demonstrations of tools will be given for FREE - no more expensive training courses for simple (and free) open-source testing tools."
21,http://www.meetup.com/Silicon-Valley-Wales/,Blaenau Gwent,Silicon Valley Wales,Business,Are you interested in how technology can change business and the world. Do you want to build or grow a business based on this.
22,http://www.meetup.com/NorthWalesTech/,Gwynedd,North Wales Technology,Programming,"For those in or near North Wales with an interest in technology, software development or hardware hacking."
23,http://www.meetup.com/South-Wales-Technology-Council/,Cardiff,South Wales Technology Council,Programming,"Technologists meeting to discuss technology innovation and strategies to expand Technology education and implementation in South Wales to a larger sector of the society and the business community. Community meetings linking businesses with local authorities, thus raising the standard of technology offerings and increase business collaboration across the region and beyond."
24,http://www.meetup.com/PyDiff/,Cardiff,PyDiff,Programming,PyDiff holds monthly meetups in Cardiff for anyone who uses or wants to learn about Python.
25,http://www.meetup.com/Cardiff-StartUp-Europe-Week/,Cardiff,Cardiff StartUp Europe Week,Business,"Cardiff StartUp Europe Week is an event under the endorsement of the European Commission, aiming at creating a series of initiatives all over Europe in the week 1-5 February 2016, focused on getting together local / regional authorities / ""ecosystem players"" to present resources available to local entrepreneurs (e.g. local grants, subsidies, office spaces funding opportunities, etc.)."
