,tag_name,topic_name,broad_topics,tag_count
0,marketing_analytics,Cloud - Mixed_21,Information Technology,2
1,jboss_enterprise_middleware,Cloud - Mixed_21,Information Technology,4
2,azure,Cloud - Mixed_21,Information Technology,7
3,microsoft_biztalk,Cloud - Mixed_21,Information Technology,2
4,solution_architecture,Cloud - Mixed_21,Information Technology,3
5,business_analysis_tools_and_techniques,Cloud - Mixed_21,Information Technology,3
6,technical_architecture,Cloud - Mixed_21,Information Technology,2
7,sharepoint,Cloud - Mixed_21,Information Technology,7
8,business_architecture,Cloud - Mixed_21,Information Technology,2
9,mule_esb,Cloud - Mixed_21,Information Technology,2
10,togaf,Cloud - Mixed_21,Information Technology,2
11,application_programming_interface,Cloud - Mixed_21,Information Technology,6
12,system_integration,Cloud - Mixed_21,Information Technology,2
13,strategic_organizational_change,Cloud - Mixed_21,Information Technology,2
14,service-oriented_architecture,Cloud - Mixed_21,Information Technology,2
15,microsoft_sharepoint_technology,Cloud - Mixed_21,Information Technology,5
16,metrics,Cloud - Mixed_21,Information Technology,4
17,knowledge_sharing,Cloud - Mixed_21,Information Technology,9
18,enterprise_application_integration,Cloud - Mixed_21,Information Technology,4
19,service_oriented_architectures,Cloud - Mixed_21,Information Technology,3
20,business_analysts,Cloud - Mixed_21,Information Technology,5
21,web_api_design,Cloud - Mixed_21,Information Technology,6
22,enterprise_technology,Cloud - Mixed_21,Information Technology,2
23,marketing_measurement,Cloud - Mixed_21,Information Technology,2
24,web_services,Cloud - Mixed_21,Information Technology,8
25,messaging_systems,Cloud - Mixed_21,Information Technology,3
26,business_analysis,Cloud - Mixed_21,Information Technology,3
27,automation,Cloud - Mixed_21,Information Technology,10
28,stream_processing,Databases,Information Technology,3
29,supercomputing,Databases,Information Technology,2
30,mapreduce,Databases,Information Technology,33
31,high_scalability_computing,Databases,Information Technology,45
32,enterprise_search,Databases,Information Technology,14
33,real_time_analytics,Databases,Information Technology,8
34,cloud_networking,Databases,Information Technology,2
35,postgres,Databases,Information Technology,2
36,nosql,Databases,Information Technology,87
37,advanced_sql_server,Databases,Information Technology,7
38,xml,Databases,Information Technology,6
39,mongodb,Databases,Information Technology,26
40,sql_server,Databases,Information Technology,17
41,database_professionals,Databases,Information Technology,28
42,data_science_using_python,Databases,Information Technology,5
43,parallel_programming,Databases,Information Technology,6
44,sql,Databases,Information Technology,25
45,high_frequency_trading,Databases,Information Technology,3
46,apache_kafka,Databases,Information Technology,3
47,using_mongodb_in_the_cloud,Databases,Information Technology,6
48,sql_server_data_mining,Databases,Information Technology,5
49,neo4j,Databases,Information Technology,8
50,financial_services,Databases,Information Technology,4
51,graph_databases,Databases,Information Technology,11
52,hive,Databases,Information Technology,9
53,database_development,Databases,Information Technology,37
54,oracle,Databases,Information Technology,10
55,hbase,Databases,Information Technology,12
56,dba,Databases,Information Technology,2
57,apache,Databases,Information Technology,8
58,apache_pig,Databases,Information Technology,3
59,postgresql,Databases,Information Technology,5
60,web_&_new_technology,Databases,Information Technology,5
61,sql_integration_services,Databases,Information Technology,5
62,sql_server_analysis_services,Databases,Information Technology,7
63,search_engines,Databases,Information Technology,7
64,apache_spark,Databases,Information Technology,18
65,"search,_information_retrieval",Databases,Information Technology,4
66,elasticsearch,Databases,Information Technology,9
67,postgresql_and_open_source_projects,Databases,Information Technology,1
68,sql_server_2012,Databases,Information Technology,3
69,sql_server_integration_services,Databases,Information Technology,6
70,solr,Databases,Information Technology,6
71,agile_data_warehousing_and_business_intelligence,Databases,Information Technology,3
72,hadoop,Databases,Information Technology,82
73,high_performance_computing,Databases,Information Technology,12
74,cassandra,Databases,Information Technology,15
75,document_databases,Databases,Information Technology,2
76,sql_server_azure,Databases,Information Technology,5
77,sql_server_reporting_services,Databases,Information Technology,7
78,apache_hive,Databases,Information Technology,3
79,etl,Databases,Information Technology,5
80,apache_lucene_and_solr_open_source_search,Databases,Information Technology,11
81,sql_azure,Databases,Information Technology,2
82,data_warehousing,Databases,Information Technology,16
83,lucene_solr_nutch_mahout_and_open_source_search,Databases,Information Technology,5
84,computer_graphics,Coding - Wearables - IoT - Hardware,Programming,12
85,hackshackers,Coding - Wearables - IoT - Hardware,Programming,6
86,geek_culture,Coding - Wearables - IoT - Hardware,Programming,5
87,social_coding,Coding - Wearables - IoT - Hardware,Programming,17
88,hardware_hacking_and_reverse_engineering,Coding - Wearables - IoT - Hardware,Programming,3
89,biohacking,Coding - Wearables - IoT - Hardware,Programming,4
90,computer_science,Coding - Wearables - IoT - Hardware,Programming,32
91,m2m,Coding - Wearables - IoT - Hardware,Programming,15
92,makers,Coding - Wearables - IoT - Hardware,Programming,72
93,diy_technology,Coding - Wearables - IoT - Hardware,Programming,12
94,smart_sensors,Coding - Wearables - IoT - Hardware,Programming,34
95,hackers_and_makers,Coding - Wearables - IoT - Hardware,Programming,5
96,google_glass,Coding - Wearables - IoT - Hardware,Programming,2
97,open_source_hardware,Coding - Wearables - IoT - Hardware,Programming,9
98,manufacturing,Coding - Wearables - IoT - Hardware,Programming,4
99,maker_innovation_ecosystem,Coding - Wearables - IoT - Hardware,Programming,2
100,hardware_engineering,Coding - Wearables - IoT - Hardware,Programming,3
101,arduino_and_robotics,Coding - Wearables - IoT - Hardware,Programming,12
102,hobby_electronics,Coding - Wearables - IoT - Hardware,Programming,3
103,hackathons,Coding - Wearables - IoT - Hardware,Programming,15
104,gaming,Coding - Wearables - IoT - Hardware,Programming,11
105,women_science_technology_engineering_&_mathematics,Coding - Wearables - IoT - Hardware,Programming,3
106,hack,Coding - Wearables - IoT - Hardware,Programming,8
107,courses_and_workshops,Coding - Wearables - IoT - Hardware,Programming,9
108,coders,Coding - Wearables - IoT - Hardware,Programming,23
109,emerging_technologies,Coding - Wearables - IoT - Hardware,Programming,5
110,teachers,Coding - Wearables - IoT - Hardware,Programming,5
111,iot_hacking,Coding - Wearables - IoT - Hardware,Programming,21
112,geeks_&_nerds,Coding - Wearables - IoT - Hardware,Programming,9
113,learning,Coding - Wearables - IoT - Hardware,Programming,18
114,microcontrollers,Coding - Wearables - IoT - Hardware,Programming,25
115,diy_(do_it_yourself),Coding - Wearables - IoT - Hardware,Programming,28
116,repair,Coding - Wearables - IoT - Hardware,Programming,3
117,hardware,Coding - Wearables - IoT - Hardware,Programming,9
118,women_in_technology,Coding - Wearables - IoT - Hardware,Programming,18
119,arduino,Coding - Wearables - IoT - Hardware,Programming,59
120,robotics,Coding - Wearables - IoT - Hardware,Programming,60
121,robots,Coding - Wearables - IoT - Hardware,Programming,7
122,m2m_devices,Coding - Wearables - IoT - Hardware,Programming,10
123,embedded_systems,Coding - Wearables - IoT - Hardware,Programming,12
124,connected_objects,Coding - Wearables - IoT - Hardware,Programming,2
125,women_in_tech,Coding - Wearables - IoT - Hardware,Programming,10
126,hacking,Coding - Wearables - IoT - Hardware,Programming,90
127,digital_art,Coding - Wearables - IoT - Hardware,Programming,6
128,community_organizations,Coding - Wearables - IoT - Hardware,Programming,2
129,hackathon,Coding - Wearables - IoT - Hardware,Programming,17
130,kinect,Coding - Wearables - IoT - Hardware,Programming,2
131,iot,Coding - Wearables - IoT - Hardware,Programming,19
132,smart_cities,Coding - Wearables - IoT - Hardware,Programming,10
133,intellectual_discussion,Coding - Wearables - IoT - Hardware,Programming,8
134,wearables,Coding - Wearables - IoT - Hardware,Programming,7
135,girls_in_tech,Coding - Wearables - IoT - Hardware,Programming,4
136,raspberry_pi,Coding - Wearables - IoT - Hardware,Programming,23
137,restarters,Coding - Wearables - IoT - Hardware,Programming,2
138,education,Coding - Wearables - IoT - Hardware,Programming,9
139,computers,Coding - Wearables - IoT - Hardware,Programming,12
140,machine-to-machine,Coding - Wearables - IoT - Hardware,Programming,4
141,women_programmers,Coding - Wearables - IoT - Hardware,Programming,4
142,product_prototyping,Coding - Wearables - IoT - Hardware,Programming,2
143,internet_of_things,Coding - Wearables - IoT - Hardware,Programming,71
144,women_software_developers,Coding - Wearables - IoT - Hardware,Programming,5
145,community_building,Coding - Wearables - IoT - Hardware,Programming,5
146,sensors,Coding - Wearables - IoT - Hardware,Programming,14
147,smart_home,Coding - Wearables - IoT - Hardware,Programming,15
148,science,Coding - Wearables - IoT - Hardware,Programming,7
149,education_&_technology,Coding - Wearables - IoT - Hardware,Programming,95
150,smart_grid,Coding - Wearables - IoT - Hardware,Programming,8
151,raspberrypi,Coding - Wearables - IoT - Hardware,Programming,5
152,makerspaces,Coding - Wearables - IoT - Hardware,Programming,60
153,wearable_technologies,Coding - Wearables - IoT - Hardware,Programming,22
154,force.com,IT_operations,Information Technology,8
155,infrastructure_as_code,IT_operations,Information Technology,48
156,linux,IT_operations,Information Technology,62
157,cloud_storage,IT_operations,Information Technology,5
158,kubernetes,IT_operations,Information Technology,6
159,microservices,IT_operations,Information Technology,7
160,paas:_platform_as_a_service,IT_operations,Information Technology,7
161,ibm,IT_operations,Information Technology,1
162,heroku,IT_operations,Information Technology,7
163,software_defined_networking,IT_operations,Information Technology,2
164,openstack,IT_operations,Information Technology,23
165,it_infrastructure,IT_operations,Information Technology,5
166,dev_ops,IT_operations,Information Technology,5
167,saas_(software_as_a_service),IT_operations,Information Technology,54
168,microsoft,IT_operations,Information Technology,10
169,salesforce.com_integration,IT_operations,Information Technology,6
170,monitoring,IT_operations,Information Technology,5
171,network_management_and_monitoring,IT_operations,Information Technology,2
172,ec2,IT_operations,Information Technology,18
173,salesforce.com_and_force.com,IT_operations,Information Technology,5
174,windows,IT_operations,Information Technology,5
175,operations_and_data_center_management,IT_operations,Information Technology,9
176,apache_mesos,IT_operations,Information Technology,3
177,apex_development,IT_operations,Information Technology,7
178,aws_programming_and_tools,IT_operations,Information Technology,11
179,continuous_delivery,IT_operations,Information Technology,50
180,unix,IT_operations,Information Technology,5
181,aws_rds,IT_operations,Information Technology,2
182,linux_server,IT_operations,Information Technology,6
183,microsoft_technology,IT_operations,Information Technology,11
184,web_operations,IT_operations,Information Technology,6
185,virtualization,IT_operations,Information Technology,50
186,microsoft_windows,IT_operations,Information Technology,4
187,coreos,IT_operations,Information Technology,3
188,gpu_programming,IT_operations,Information Technology,4
189,crm,IT_operations,Information Technology,5
190,linux_user_group,IT_operations,Information Technology,6
191,continuous_deployment,IT_operations,Information Technology,7
192,puppet,IT_operations,Information Technology,9
193,gnu/linux,IT_operations,Information Technology,2
194,aws_s3,IT_operations,Information Technology,6
195,real_life_uses_of_aws_and_cloud_servers,IT_operations,Information Technology,4
196,cloud_foundry,IT_operations,Information Technology,2
197,cloud_computing,IT_operations,Information Technology,192
198,ansible,IT_operations,Information Technology,8
199,system_administration,IT_operations,Information Technology,53
200,data_storage,IT_operations,Information Technology,4
201,data_center_and_operations_automation,IT_operations,Information Technology,34
202,amazon_web_services,IT_operations,Information Technology,29
203,ubuntu,IT_operations,Information Technology,5
204,visualforce_development,IT_operations,Information Technology,5
205,free_software_foundation,IT_operations,Information Technology,2
206,scripting,IT_operations,Information Technology,3
207,iaas_(infrastructure_as_a_service),IT_operations,Information Technology,37
208,docker,IT_operations,Information Technology,31
209,powershell,IT_operations,Information Technology,3
210,uk_software_developers,IT_operations,Information Technology,2
211,configuration_management,IT_operations,Information Technology,42
212,building_private_cloud_with_openstack,IT_operations,Information Technology,3
213,paas_(platform_as_a_service),IT_operations,Information Technology,31
214,salesforce.com_developers,IT_operations,Information Technology,11
215,opscode_chef,IT_operations,Information Technology,7
216,python/linux_devop,IT_operations,Information Technology,8
217,middleware,IT_operations,Information Technology,7
218,red_hat,IT_operations,Information Technology,4
219,devops,IT_operations,Information Technology,96
220,aws_design_implementation_and_servicing,IT_operations,Information Technology,14
221,scalability,IT_operations,Information Technology,4
222,apex,IT_operations,Information Technology,7
223,uk_aws_users,IT_operations,Information Technology,4
224,aws,IT_operations,Information Technology,27
225,gpu,IT_operations,Information Technology,3
226,windows_powershell,IT_operations,Information Technology,3
227,linux_networking,IT_operations,Information Technology,4
228,google_cloud_platform,IT_operations,Information Technology,4
229,salesforce.com,IT_operations,Information Technology,10
230,gpgpu,IT_operations,Information Technology,3
231,unikernel,IT_operations,Information Technology,3
232,hpc_programming,IT_operations,Information Technology,2
233,writing,Video Games - AR/VR,Immersive,2
234,game_production,Video Games - AR/VR,Immersive,9
235,video_game_development,Video Games - AR/VR,Immersive,16
236,virtual_reality,Video Games - AR/VR,Immersive,24
237,vr_glasses,Video Games - AR/VR,Immersive,12
238,independent_game_development,Video Games - AR/VR,Immersive,26
239,unity_game_engine,Video Games - AR/VR,Immersive,3
240,games,Video Games - AR/VR,Immersive,9
241,mobile_game_development,Video Games - AR/VR,Immersive,15
242,transmedia,Video Games - AR/VR,Immersive,2
243,vr,Video Games - AR/VR,Immersive,16
244,c_sharp,Video Games - AR/VR,Immersive,3
245,game_design,Video Games - AR/VR,Immersive,30
246,google_cardboard,Video Games - AR/VR,Immersive,4
247,unity_3d_artists,Video Games - AR/VR,Immersive,2
248,"game_design,_game_modding,_3d_modeling",Video Games - AR/VR,Immersive,5
249,oculus_rift,Video Games - AR/VR,Immersive,17
250,video_games,Video Games - AR/VR,Immersive,15
251,iphone_game_development,Video Games - AR/VR,Immersive,4
252,stereoscopic_equipment_and_methods,Video Games - AR/VR,Immersive,2
253,3d_gaming,Video Games - AR/VR,Immersive,8
254,game_art,Video Games - AR/VR,Immersive,3
255,unity_3d,Video Games - AR/VR,Immersive,15
256,creative_wrting,Video Games - AR/VR,Immersive,2
257,virtual_world,Video Games - AR/VR,Immersive,8
258,adobe_user_group,Video Games - AR/VR,Immersive,3
259,game_programming,Video Games - AR/VR,Immersive,20
260,mobile_games,Video Games - AR/VR,Immersive,3
261,opengl,Video Games - AR/VR,Immersive,4
262,indie_games,Video Games - AR/VR,Immersive,13
263,transmedia_production,Video Games - AR/VR,Immersive,4
264,opencl,Video Games - AR/VR,Immersive,2
265,interactive,Video Games - AR/VR,Immersive,3
266,social_augmented_reality,Video Games - AR/VR,Immersive,3
267,the_future_of_video_games,Video Games - AR/VR,Immersive,8
268,unity,Video Games - AR/VR,Immersive,5
269,video_game_entrepreneurs,Video Games - AR/VR,Immersive,4
270,c++_programming,Video Games - AR/VR,Immersive,4
271,social_game_developers,Video Games - AR/VR,Immersive,3
272,webgl,Video Games - AR/VR,Immersive,5
273,human-computer_interaction,Video Games - AR/VR,Immersive,13
274,unity_3d_developers,Video Games - AR/VR,Immersive,4
275,video_game_developers,Video Games - AR/VR,Immersive,7
276,video_game_design,Video Games - AR/VR,Immersive,16
277,augmented_reality,Video Games - AR/VR,Immersive,19
278,game_development,Video Games - AR/VR,Immersive,38
279,board_games,Video Games - AR/VR,Immersive,2
280,transmedia_storytelling_&_publishing,Video Games - AR/VR,Immersive,3
281,virtual_worlds,Video Games - AR/VR,Immersive,9
282,content_strategy,Digital Marketing,Business,23
283,digital_photography,Digital Marketing,Business,8
284,podcasting,Digital Marketing,Business,6
285,social_media,Digital Marketing,Business,70
286,online_advertising,Digital Marketing,Business,5
287,content_marketing,Digital Marketing,Business,14
288,blogging_to_promote_yourself,Digital Marketing,Business,2
289,how_to_market_your_business_through_blogging,Digital Marketing,Business,5
290,social_networking,Digital Marketing,Business,58
291,blogging,Digital Marketing,Business,29
292,organic_search_engine_optimization,Digital Marketing,Business,2
293,seo_for_small_businesses,Digital Marketing,Business,3
294,coworking,Digital Marketing,Business,5
295,internet_&_social_media,Digital Marketing,Business,4
296,digital_journalism,Digital Marketing,Business,2
297,media,Digital Marketing,Business,14
298,social_media_content,Digital Marketing,Business,2
299,videoblogging,Digital Marketing,Business,4
300,adobe_creative_suite,Digital Marketing,Business,3
301,wordpress_themes,Digital Marketing,Business,24
302,social_enterprise,Digital Marketing,Business,4
303,copywriting,Digital Marketing,Business,4
304,linkedin,Digital Marketing,Business,3
305,adobe_indesign,Digital Marketing,Business,3
306,online_marketing,Digital Marketing,Business,96
307,future_of_news,Digital Marketing,Business,3
308,digital_marketing_strategy,Digital Marketing,Business,10
309,pinterest,Digital Marketing,Business,2
310,marketing_strategy,Digital Marketing,Business,5
311,starting_a_business,Digital Marketing,Business,2
312,facebook_marketing,Digital Marketing,Business,6
313,graphic_design,Digital Marketing,Business,59
314,adobe,Digital Marketing,Business,5
315,facebook,Digital Marketing,Business,8
316,pay_per_click,Digital Marketing,Business,5
317,adobe_after_effects,Digital Marketing,Business,2
318,geeks,Digital Marketing,Business,1
319,journalism,Digital Marketing,Business,15
320,content,Digital Marketing,Business,5
321,digital_media,Digital Marketing,Business,64
322,graphic_design_and_print_production,Digital Marketing,Business,2
323,fundraising,Digital Marketing,Business,4
324,using_twitter_for_business,Digital Marketing,Business,3
325,ppc_-_paid_search,Digital Marketing,Business,4
326,digital_strategy,Digital Marketing,Business,8
327,community_management,Digital Marketing,Business,3
328,copywriting_for_small_business_owners,Digital Marketing,Business,2
329,new_media,Digital Marketing,Business,19
330,film_and_video_production,Digital Marketing,Business,10
331,after_effects,Digital Marketing,Business,1
332,independent_filmmaking,Digital Marketing,Business,3
333,digital_publishing,Digital Marketing,Business,12
334,marketing,Digital Marketing,Business,45
335,photoshop,Digital Marketing,Business,5
336,digital_&_social_media,Digital Marketing,Business,6
337,digital_marketing,Digital Marketing,Business,32
338,networking_for_marketing_professionals,Digital Marketing,Business,3
339,digital_storytelling,Digital Marketing,Business,3
340,branded_content,Digital Marketing,Business,2
341,digital_access,Digital Marketing,Business,2
342,twitter,Digital Marketing,Business,14
343,seo_(search_engine_optimization),Digital Marketing,Business,48
344,networking_for_graphic_designers_&_marketing_pros,Digital Marketing,Business,5
345,content_management,Digital Marketing,Business,9
346,social_media_for_business,Digital Marketing,Business,6
347,future_of_journalism,Digital Marketing,Business,3
348,advertising_agency_community,Digital Marketing,Business,2
349,search_engine_marketing,Digital Marketing,Business,11
350,wordpress_plugins,Digital Marketing,Business,22
351,digital_content_strategy,Digital Marketing,Business,3
352,google_plus,Digital Marketing,Business,2
353,wordpress,Digital Marketing,Business,40
354,digital_marketing_professionals,Digital Marketing,Business,8
355,digital_marketing_workshop,Digital Marketing,Business,2
356,architecture,Digital Marketing,Business,8
357,digital_marketer,Digital Marketing,Business,2
358,digital_video,Digital Marketing,Business,10
359,digital_marketing_analytics,Digital Marketing,Business,4
360,e-business_owners,Digital Marketing,Business,10
361,adobe_illustrator,Digital Marketing,Business,3
362,social_media_management,Digital Marketing,Business,4
363,video_editing,Digital Marketing,Business,3
364,publishers,Digital Marketing,Business,2
365,graphic_design_professionals,Digital Marketing,Business,3
366,digital_design,Digital Marketing,Business,2
367,freelance,Digital Marketing,Business,11
368,content_strategy_and_seo,Digital Marketing,Business,12
369,nonprofit,Digital Marketing,Business,11
370,social_media_marketing,Digital Marketing,Business,49
371,youtube,Digital Marketing,Business,5
372,illustration,Digital Marketing,Business,4
373,volunteering,Digital Marketing,Business,8
374,human-centered_design,Design (UI/UX),Design,3
375,ui/ux,Design (UI/UX),Design,4
376,product_management,Design (UI/UX),Design,25
377,customer_experience,Design (UI/UX),Design,5
378,social_innovation,Design (UI/UX),Design,6
379,ui_design,Design (UI/UX),Design,34
380,alfresco,Design (UI/UX),Design,1
381,behavioural_economics,Design (UI/UX),Design,2
382,experience_design,Design (UI/UX),Design,2
383,customer_relationship_management,Design (UI/UX),Design,6
384,ux_creatives,Design (UI/UX),Design,2
385,high_tech,Design (UI/UX),Design,3
386,ux_research,Design (UI/UX),Design,3
387,user_experience_design,Design (UI/UX),Design,18
388,creative_design,Design (UI/UX),Design,3
389,behaviour_change,Design (UI/UX),Design,3
390,organisational_culture,Design (UI/UX),Design,3
391,designers,Design (UI/UX),Design,3
392,branding,Design (UI/UX),Design,2
393,graphical_user_interfaces,Design (UI/UX),Design,5
394,product_design,Design (UI/UX),Design,56
395,product_marketing,Design (UI/UX),Design,6
396,user_experience_research,Design (UI/UX),Design,3
397,mobile_user_experience,Design (UI/UX),Design,38
398,growth_hacking,Design (UI/UX),Design,3
399,user_research,Design (UI/UX),Design,32
400,ui/ux_design,Design (UI/UX),Design,8
401,ux_strategy,Design (UI/UX),Design,2
402,professional_engineer,Design (UI/UX),Design,2
403,user_interface_design,Design (UI/UX),Design,15
404,ux_design,Design (UI/UX),Design,72
405,user_testing,Design (UI/UX),Design,3
406,product_development,Design (UI/UX),Design,29
407,software_product_management,Design (UI/UX),Design,15
408,ux_/_ui_design,Design (UI/UX),Design,7
409,usability,Design (UI/UX),Design,42
410,user_centered_design,Design (UI/UX),Design,3
411,responsive_web_design,Design (UI/UX),Design,4
412,freelancer_networking,Design (UI/UX),Design,3
413,website_design,Design (UI/UX),Design,8
414,new_product_development:_software_&_tech,Design (UI/UX),Design,54
415,ux_technology,Design (UI/UX),Design,3
416,accessibility,Design (UI/UX),Design,3
417,lean_ux,Design (UI/UX),Design,16
418,people_helping_people,Design (UI/UX),Design,3
419,service_design,Design (UI/UX),Design,10
420,design_thinking,Design (UI/UX),Design,12
421,ux/ui,Design (UI/UX),Design,3
422,customer_success,Design (UI/UX),Design,5
423,user_experience,Design (UI/UX),Design,106
424,social_entrepreneurship,Design (UI/UX),Design,7
425,ux_and_sustainable_web_design,Design (UI/UX),Design,2
426,usability_testing,Design (UI/UX),Design,2
427,payment_systems,Design (UI/UX),Design,3
428,innovation,Design (UI/UX),Design,86
429,interaction_design,Design (UI/UX),Design,62
430,information_architecture,Design (UI/UX),Design,33
431,javascript_best_practices,Front-end development,Programming,9
432,front-end_engineering,Front-end development,Programming,4
433,open_source_community,Front-end development,Programming,12
434,jquery,Front-end development,Programming,19
435,nodejs,Front-end development,Programming,46
436,tessel,Front-end development,Programming,2
437,css3,Front-end development,Programming,6
438,bristol,Front-end development,Programming,7
439,json,Front-end development,Programming,6
440,single_page_applications,Front-end development,Programming,2
441,javascript_libraries,Front-end development,Programming,31
442,front-end_development,Front-end development,Programming,40
443,rich_internet_applications,Front-end development,Programming,29
444,html5,Front-end development,Programming,103
445,javascript,Front-end development,Programming,192
446,javascript_applications,Front-end development,Programming,29
447,javascript_testing,Front-end development,Programming,4
448,"html,_xhtml,_css_&_javascript",Front-end development,Programming,8
449,angular,Front-end development,Programming,7
450,ember_js,Front-end development,Programming,5
451,server_side_javascript,Front-end development,Programming,10
452,html_5/css3,Front-end development,Programming,4
453,phonegap,Front-end development,Programming,4
454,google_apps_script,Front-end development,Programming,2
455,html_and_css,Front-end development,Programming,16
456,web_standards,Front-end development,Programming,27
457,d3.js,Front-end development,Programming,1
458,sustainable_frameworks_in_javascript,Front-end development,Programming,6
459,coffeescript,Front-end development,Programming,5
460,angularjs,Front-end development,Programming,23
461,web_design_and_development,Front-end development,Programming,5
462,css,Front-end development,Programming,41
463,web_application,Front-end development,Programming,10
464,html,Front-end development,Programming,13
465,javascript_frameworks,Front-end development,Programming,59
466,meteor,Front-end development,Programming,9
467,all_forms_of_javascript,Front-end development,Programming,18
468,backbone.js,Front-end development,Programming,5
469,open_source_frameworks,Front-end development,Programming,9
470,cybersecurity,Cyber Security,Information Technology,19
471,computer_security,Cyber Security,Information Technology,27
472,software_security,Cyber Security,Information Technology,15
473,web_application_security,Cyber Security,Information Technology,14
474,risk_governance_and_compliance,Cyber Security,Information Technology,2
