,Topics,Aberdeen,Ashford,Babraham,Bangor,Barnsley,Basildon,Basingstoke,Bath,Beaconsfield,Bedford,Beggarwood,Belfast,Bilston,Bingham,Birmingham,Bournemouth,Bradford,Brighton,Brighton Marina Village,Bristol,Brunswick Business Park,Burton-on-Trent,Buxton,Caister-on-Sea,Cambourne Business Park,Cambridge,Canterbury,Cardiff,Chafford Hundred,Chalfont St Peter,Chelmsford,Cheltenham,Chester,Chesterfield,Chippenham,Colchester,Coventry,Croydon,Cwm,Dartford,Denham,Derby,Dorking,Dundee,Durham,Edgbaston,Edinburgh,Egham,Enfield,Epsom,Exeter,Farnborough,Folkestone,Forest Row,Frome,Glasgow,Gloucester,Godalming,Greater London,Greater Manchester,Grimsby,Guildford,Harrogate,Hastings,Haywards Heath,Headington,Henley-on-Thames,Hereford,Hersden,Hertford,High Wycombe,Hitchin,Horsham,Hove,Huddersfield,Hull,Ilford,Inverness,Ipswich,Isleworth,Kennington,Keswick,Kettering,Lancaster,Leamington Spa,Leeds,Leicester,Leigh,Leigh-on-Sea,Lincoln,Liverpool,Llansadwrn,London,Long Eaton,Lower Bullingham,Luton,Maidstone,Manchester,Marlow,Middlesbrough,Milton Keynes,Newbury,Newcastle Upon Tyne,Northampton,Norwich,Nottingham,Nursling,Oldham,Oswestry,Oxford,Peterborough,Plymouth,Poole,Poplar,Preston,Pride Park,Reading,Reigate,Richmond,Roch,Salford,Sevenoaks,Shaftesbury,Sheffield,Shrewsbury,Slough,Southampton,Southend-on-Sea,Southsea,St Albans,St Helier,St Peter Port,Stafford,Stevenage,Stroud,Surbiton,Sutton Coldfield,Swansea,Swindon,Taunton,Temple Meads,Truro,Tunbridge Wells,Twickenham,Warrington,Warwick,Waterbeach,Watford,Wembley,West Jesmond,Winchester,Woking,Woodford Green,Worcester,York
0,Data Science,0.0,0.0,0.058106561603970826,0.0,0.0,0.0,0.0,0.11621312320794168,0.0,0.0,0.0,0.058106561603970826,0.0,0.058106561603970826,0.6413242725179005,0.0,0.0,0.8056008479167807,0.0,0.5700660200159114,0.0,0.0,0.0,0.0,0.0,0.5975650100754037,0.0,0.3504840223731574,0.0,0.0,0.058106561603970826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058106561603970826,0.0,0.3292705157558348,0.348639369623825,0.0,0.0,0.058106561603970826,0.11621312320794168,0.0,0.0,0.0,0.0,0.11621312320794168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058106561603970826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058106561603970826,0.0,0.0,0.0,0.17431968481191248,0.0,0.0,0.0,0.058106561603970826,0.0,10.0,0.0,0.0,0.0,0.0,0.7707189768304464,0.0,0.0,0.058106561603970826,0.058106561603970826,0.058106561603970826,0.0,0.0,0.058106561603970826,0.0,0.0,0.0,0.4282668799700074,0.0,0.0,0.0,0.0,0.0,0.0,0.5326434813697327,0.058106561603970826,0.0,0.0,0.0,0.0,0.0,0.33895494268982995,0.0,0.0,0.0,0.0,0.0,0.058106561603970826,0.058106561603970826,0.0,0.0,0.0,0.0,0.0,0.0,0.058106561603970826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2324262464158833,0.058106561603970826,0.0
1,Data cloud,0.0,0.0,0.0,0.0,0.0,0.0,0.2782534806240045,0.0,0.0,0.0,0.0,0.4770059667840078,0.0,0.0,0.2862035800704046,0.0,0.0,0.09540119335680154,0.0,0.5278866032409685,0.09540119335680154,0.0,0.0,0.0,0.0,0.4770059667840078,0.0,0.2756034474752045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09540119335680154,0.0,0.09540119335680154,0.0,0.0,0.09540119335680154,0.0,0.0,0.0,0.09540119335680154,0.0,1.5052188285184245,0.0,0.17717364480548858,0.09540119335680154,0.0,0.0,0.0,0.0,0.0,0.19080238671360308,0.0,0.0,0.0,0.0,0.0,0.0,0.4028050386176065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09540119335680154,0.0,0.0,0.0,0.3286041104512053,0.09540119335680154,0.0,0.0,0.0,0.0,0.19080238671360308,0.09540119335680154,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.1146039423852978,0.0,0.09540119335680154,0.09540119335680154,0.0,0.19080238671360308,0.09540119335680154,0.0,0.09540119335680154,0.0,0.0,0.0,0.2862035800704046,0.0,0.0,0.0,0.0,0.0,0.0,0.38160477342720617,0.0,0.0,0.0,0.09540119335680154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09540119335680154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09540119335680154,0.0,0.0,0.0,0.09540119335680154,0.0,0.0,0.0
2,Data management,0.0,0.0,0.17361552188416682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17361552188416682,1.427505402158705,0.0,0.0,0.34723104376833364,0.0,0.34723104376833364,0.0,0.0,0.0,0.0,0.0,1.8266373823633104,0.0,0.17361552188416682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17361552188416682,0.17361552188416682,0.0,0.0,0.0,0.17361552188416682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17361552188416682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17361552188416682,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.7909151552500933,0.0,0.0,0.17361552188416682,0.0,0.17361552188416682,0.17361552188416682,0.0,0.17361552188416682,0.0,0.0,0.0,1.0127572109909733,0.0,0.0,0.0,0.0,0.0,0.0,0.34723104376833364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17361552188416682,0.17361552188416682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4275054021587057,0.0,0.0,0.0,0.0,0.17361552188416682,0.0,0.0,0.6944620875366673,0.0,0.0
3,Digital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09777240950454427,0.0,0.09777240950454427,0.09777240950454427,0.0,0.0,1.4134320945438683,0.0,0.0,1.1243827093022591,0.0,0.5051574491068122,0.0,0.0,0.0,0.0,0.0,0.3950400384021991,0.17110171663295248,0.09777240950454427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09777240950454427,0.0,0.0,0.8375836414222626,0.0,0.1815773319370108,0.0,0.19554481900908852,0.0,0.0,0.0,0.0,0.19554481900908852,0.0,0.0,0.0,0.0,0.0,0.09777240950454427,0.4128168401302981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4766140820045282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09777240950454427,0.0,0.0,0.0,0.6822341463205979,0.0,10.0,0.0,0.0,0.0,0.0,0.719466669940005,0.0,0.0,0.0,0.0,0.4953802081563577,0.0,0.19554481900908852,0.0,0.0,0.0,0.0,0.19554481900908852,0.09777240950454427,0.0,0.0,0.0,0.0,0.0,0.44290065843938864,0.0,0.0,0.0,0.0,0.0,0.0,0.30961263009772355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13579501320075596,0.0,0.0,0.09777240950454427,0.0,0.0,1.4146665946638752,0.09777240950454427,0.0,0.8039064781484755,0.0,0.45627124435454,0.09777240950454427,0.0,0.0,0.19554481900908852,0.0,0.0,0.0,0.09777240950454427
4,Functional programming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3316003423588701,0.0,0.0,0.3316003423588701,0.0,0.0,1.921439761557231,0.0,1.7206373320176929,0.0,0.0,0.0,0.0,0.0,1.0009417741573299,0.0,0.0,0.16580017117943505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16580017117943505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4974005135383051,0.0,0.0,0.0,0.16580017117943505,0.0,0.0,0.16580017117943505,0.0,0.16580017117943505,0.0,0.0,0.0,0.0,0.0,0.16580017117943505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0316455095609292,0.16580017117943505,0.0,0.0,0.16580017117943505,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.1643830679382083,0.0,0.0,0.0,0.0,0.16580017117943505,0.0,0.0,0.0,0.0,0.0,0.0,0.3316003423588701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16580017117943505,0.16580017117943505,0.0,0.0,1.623204145003605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16580017117943505
5,Game Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17236403209513315,0.0,0.0,0.0,0.0,2.6429151587920408,0.0,1.1053185550227584,0.0,0.0,0.0,0.0,0.0,1.1060025392771045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17236403209513315,0.17236403209513315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17236403209513315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17236403209513315,0.0,0.0,0.0,0.17236403209513315,0.0,10.0,0.0,0.0,0.0,0.0,0.984390138854427,0.0,0.0,0.0,0.0,0.17236403209513315,0.17236403209513315,1.2008027569294275,0.0,0.0,0.0,0.0,0.17236403209513315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17236403209513315,0.0,0.0,0.3590917335315274,0.0,0.0,0.0,0.0,0.17236403209513315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17236403209513315
6,Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14122521792281495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14122521792281495,0.0,0.0,0.0,0.0,0.0,0.9415014528187664,0.0,0.14122521792281495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4707507264093832,0.0,0.0,0.0,0.0,1.079588332565519,0.0,0.0,0.0,1.2788728067454909,0.0,0.0,0.0,0.0,0.7155411041422624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14122521792281495,0.0,0.0,0.0,0.0,0.4864424172896958,0.6355134806526673,0.0,0.0,0.0,0.0,0.0,0.0,0.14122521792281495,0.8473513075368897,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.4969873099818385,0.0,0.0,0.0,0.0,1.1062642070620503,0.0,0.14122521792281495,0.0,0.0,0.0,0.0,0.14122521792281495,0.14122521792281495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14122521792281495,0.0,0.14122521792281495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14122521792281495,0.0,0.0,0.19614613600390965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4864424172896958,0.0,0.0,0.6590510169731365,0.0,0.0,0.0,0.14122521792281495,0.14122521792281495,0.0,0.0,0.0
7,Mobile development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08513483448390192,0.0,0.0,0.0,0.2554045034517057,0.0,0.0,1.1948437534164291,0.0,0.0,0.17026966896780385,0.0,0.7855107395048018,0.0,0.0,0.0,0.08513483448390192,0.0,0.8101998415051332,0.0,0.08513483448390192,0.0,0.0,0.0,0.0,0.08513483448390192,0.0,0.0,0.0,0.08513483448390192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4256741724195096,0.0,0.0,0.0,0.08513483448390192,0.0,0.0,0.0,0.08513483448390192,0.08513483448390192,0.0,0.08513483448390192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08513483448390192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2932422076667733,0.0,0.0,0.0,0.0,0.08513483448390192,0.39729589425820894,0.08513483448390192,0.0,0.0,0.0,0.2554045034517057,0.08513483448390192,10.0,0.0,0.0,0.0,0.0,1.0503341286129009,0.0,0.0,0.17026966896780385,0.0,0.0,0.08513483448390192,0.5931060135711833,0.17026966896780385,0.0,0.08513483448390192,0.0,0.2554045034517057,0.0,0.0,0.0,0.08513483448390192,0.08513483448390192,0.0,0.2554045034517057,0.0,0.0,0.0,0.08513483448390192,0.0,0.0,0.2695936425323561,0.08513483448390192,0.0,0.08513483448390192,0.08513483448390192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08513483448390192,0.0,0.08513483448390192,0.0,0.08513483448390192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08513483448390192,0.0,0.0,0.08513483448390192
8,Project Management,0.0,0.07572850437548652,0.0,0.0,0.0,0.0,0.22087480442850232,0.9241682293230667,0.0,0.0,0.0,0.4796138610447479,0.0,0.0,0.5469280871562915,0.07572850437548652,0.0,0.9451239573523644,0.3029140175019461,0.8790116026399063,0.07572850437548652,0.0,0.0,0.0,0.0,0.8565040760837213,0.0,0.391263939273347,0.0,0.0,0.07572850437548652,0.6540189014246562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2966033088039889,0.0,0.07572850437548652,0.0,0.0,0.0,1.0669304838679656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2524283479182884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07572850437548652,0.0,0.0,0.0,0.0,0.0,0.0,0.9373505986032444,0.0,0.0,0.0,0.0,0.0,0.0,0.3029140175019461,0.0,0.0,0.0,0.0,0.07572850437548652,0.0,10.000000000000002,0.07572850437548652,0.0,0.07572850437548652,0.0,1.165190555594677,0.0,0.0,0.6689351219834642,0.07572850437548652,0.07572850437548652,0.0,1.0966609337338968,0.07572850437548652,0.07572850437548652,0.0,0.0,0.4207139131971473,0.7474683857802652,0.24296228487135266,0.0,0.0,0.0,0.31132829576588905,0.7909421568106371,0.0,0.0,0.0,0.0,0.0,0.0,0.3654200846055223,0.0,0.07572850437548652,0.9606301018001532,0.0,0.0,0.0,0.0,0.0,0.17669984354280185,0.0,0.0,0.0,0.0,0.07572850437548652,0.07572850437548652,0.0,0.0,0.0,0.0,0.0,0.07572850437548652,0.10097133916731536,0.0,0.07572850437548652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Security & DIY,0.0,0.0,0.0,0.0,0.11451138068910892,0.11451138068910892,0.0,0.11451138068910892,0.0,0.0,0.0,0.2290227613782179,0.0,0.0,0.2290227613782179,0.0,0.0,0.7824944347089109,0.0,0.11451138068910892,0.0,0.11451138068910892,0.11451138068910892,0.0,0.0,1.0374952273249292,1.2596251875801985,0.0,0.0,0.0,0.0,0.11451138068910892,0.0,0.0,0.0,0.0,0.3435341420673268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2290227613782179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11451138068910892,0.0,0.11451138068910892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6129726848652303,0.0,0.11451138068910892,0.0,0.3689811155537955,0.0,0.0,0.0,0.11451138068910892,0.0,0.0,0.0,0.0,0.0,0.0,0.11451138068910892,0.0,0.11451138068910892,0.5201361380634193,0.11451138068910892,0.0,0.0,2.137545772863367,0.11451138068910892,10.0,0.0,0.0,0.0,0.0,0.6005485742806602,0.0,0.0,0.11451138068910892,0.0,0.0,0.0,0.11451138068910892,0.11451138068910892,0.0,0.11451138068910892,0.0,0.11451138068910892,0.0,0.0,0.11451138068910892,0.0,0.0,0.0,0.11451138068910892,0.11451138068910892,0.0,0.0,0.0,0.0,0.0,0.311725425209241,0.0,0.0,0.410332447469307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11451138068910892,0.0,0.0,0.0,0.0,0.0,0.0
10,Startups & Mobile tech,0.0469851403322869,0.0,0.0,0.0,0.0,0.0469851403322869,0.0,0.4937168714281577,0.0,0.0,0.0,0.3758811226582952,0.0,0.0,0.7851521482842109,0.0,0.0469851403322869,0.39000737400002855,0.0,0.5317151714270468,0.0,0.0,0.0,0.0,0.2537197577943493,0.94463172504417,0.4771602029301138,0.0469851403322869,0.0,0.0,0.0469851403322869,0.0469851403322869,0.0,0.0,0.0,0.0469851403322869,0.7674239587606861,0.17227884788505202,0.0469851403322869,0.0,0.18533027575513167,0.0,0.0,0.0,0.0,0.0,0.2631167858608067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31114604042269994,0.0,0.0,0.0939702806645738,0.0,0.0,0.2294441019560011,0.0,0.0,0.0,0.7517622453165904,0.0469851403322869,0.0,0.0,0.0,0.0,0.0469851403322869,0.0469851403322869,0.0469851403322869,0.0,0.0,0.0469851403322869,0.0,0.5815716258907513,0.0,0.0,0.0,0.0,0.0,0.0,0.0469851403322869,0.2093449030360783,0.0469851403322869,0.0,0.0,0.8770559528693554,0.0,10.0,0.0,0.0469851403322869,0.0,0.0,0.6632133269980498,0.0939702806645738,0.0,0.0469851403322869,0.0,0.1409554209968607,0.0,0.7724357070627966,0.0,0.0,0.0469851403322869,0.0,0.4768991743727121,0.0,0.0,0.0,0.0469851403322869,0.0,0.0,0.21283866988129965,0.0,0.3549988380661678,0.0,0.0,0.0,0.0,0.0469851403322869,0.0,0.0,0.15857484862146828,0.0,0.0469851403322869,0.0,0.0,0.0469851403322869,0.0,0.0469851403322869,0.0,0.06525713935039848,0.0,0.0,0.0,0.0,0.0469851403322869,0.0,0.0,0.16183770558898822,0.0,0.0,0.0,0.0469851403322869,0.0469851403322869,0.0469851403322869,0.0,0.0469851403322869,0.0,0.0,0.0
11,User design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10385479649213672,0.0,0.0,0.3115643894764101,0.0,0.0,0.4154191859685469,0.0,0.0,0.20770959298427344,0.0,0.907864012668762,0.0,0.0,0.0,0.0,0.0,0.8387061595501345,0.0,0.3692614986387083,0.0,0.0,0.10385479649213672,0.7364249205806059,0.0,0.0,0.0,0.0,1.6962950093715667,0.0,0.0,0.0,0.0,0.0,0.10385479649213672,0.0,0.0,0.0,0.793912222073223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10385479649213672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6010989736363066,0.0,0.0,0.3577220768062487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20770959298427344,0.10385479649213672,0.0,0.0,0.0,1.9412192377655224,0.0,10.0,0.0,0.0,0.0,0.0,2.987194976992681,0.0,0.0,0.0,0.0,0.10385479649213672,0.0,0.10385479649213672,0.20770959298427344,0.0,0.0,0.0,0.20770959298427344,0.10385479649213672,0.3332008054122721,0.0,0.0,0.0,0.0,0.4431137983664501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10385479649213672,0.0,0.0,0.0,0.3591645045353062,0.0,0.0,0.10385479649213672,0.0,0.0,0.10385479649213672,0.0,0.0,0.0,0.7077512057241911,0.0,0.0,0.0,0.0,0.0,0.10385479649213672,0.20770959298427344,0.0,0.0,0.0
12,Web ,0.04138672947605613,0.0,0.0,0.04138672947605613,0.0,0.0,0.0,0.3768163178962825,0.0,0.11726240018215905,0.04138672947605613,0.2483203768563368,0.0,0.0,0.7874974914194015,0.0,0.04138672947605613,0.4943414909640038,0.0,0.571780660339202,0.0,0.0,0.0,0.0,0.0,0.8246290917826596,0.3793783535305145,0.4729911940120701,0.0,0.0,0.0,0.2934695362847617,0.2826002942001408,0.04138672947605613,0.1885395453909224,0.04138672947605613,0.04138672947605613,0.0,0.04138672947605613,0.0,0.08277345895211226,0.1379557649201871,0.0,0.04138672947605613,0.04138672947605613,0.2345248003643181,0.8320265466519728,0.0,0.0,0.04138672947605613,0.374779828033175,0.0,0.0,0.0,0.0,0.12416018842816838,0.0,0.0,0.04138672947605613,0.04138672947605613,0.0,0.08277345895211226,0.0,0.04138672947605613,0.0,0.0,0.08277345895211226,0.24556126155793306,0.0,0.04138672947605613,0.04138672947605613,0.0,0.04138672947605613,0.0,0.0,0.0,0.0,0.14255429041752665,0.09328437437460273,0.04138672947605613,0.0,0.0,0.04138672947605613,0.0,0.0,0.3966228241455379,0.3192690559581472,0.0,0.0,0.0,0.5614799632251616,0.04138672947605613,10.0,0.04138672947605613,0.0,0.04138672947605613,0.04138672947605613,1.3252950483332635,0.04138672947605613,0.0,0.04138672947605613,0.11956166293082884,0.16554691790422452,0.04138672947605613,0.44366573998332176,0.08277345895211226,0.0,0.0,0.0,0.24556126155793306,0.40850234834699856,0.14370392179186153,0.0,0.0,0.0,0.0,0.3770790907818448,0.0,0.0,0.0,0.0,0.0,0.04138672947605613,0.04138672947605613,0.04138672947605613,0.0,0.0,0.04138672947605613,0.0,0.04138672947605613,0.04138672947605613,0.04138672947605613,0.0,0.04138672947605613,0.14312910610469412,0.0,0.04138672947605613,0.04138672947605613,0.04138672947605613,0.0,0.08277345895211226,0.3714951669636468,0.0,0.0,0.0,0.0,0.0,0.12416018842816838,0.0,0.0,0.04138672947605613,0.0,0.0,0.11956166293082884,0.08277345895211226
13,Web Development - Generic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05883396670346825,0.0,0.1666962389931601,0.0,0.5442141920070817,0.0,0.0,0.8737252624678257,0.05883396670346825,0.0,0.8645324551704087,0.23533586681387306,0.8012147032552088,0.05883396670346825,0.0,0.0,0.0,0.31770342019872866,0.9398791551953172,0.10295944173106948,0.4168806783560038,0.05883396670346825,0.0,0.0,0.0,0.4849345134346476,0.0,0.0,0.05883396670346825,0.2230787904173172,0.05883396670346825,0.0,0.0,0.0,0.05883396670346825,0.11766793340693653,0.0,0.05883396670346825,0.0,0.9086579301980098,0.0,0.0,0.0,0.0,0.05883396670346825,0.34515927132701385,0.0,0.0,0.31868398631045314,0.0,0.0,0.11766793340693653,0.0,0.0,0.11766793340693653,0.24841008163686604,0.0,0.0,0.0,0.0,0.34908153577391177,0.3149347629420949,0.05883396670346825,0.0,0.0,0.0,0.0,0.3405238678897709,0.8885437535472517,0.0,0.0,0.13260989320464278,0.0,0.0,0.05883396670346825,0.0,0.0,0.0,0.3530038002208096,0.3765373869021969,0.0,0.0,0.05883396670346825,0.5020498492029293,0.0,10.0,0.0,0.0,0.0,0.05883396670346825,1.26509219578309,0.0,0.0,0.05883396670346825,0.13727925564142596,0.5126959955587949,0.11766793340693653,0.8520029992983735,0.3562723539265578,0.0,0.0,0.05883396670346825,0.7001836320204678,0.0,0.05883396670346825,0.0,0.0,0.0,0.0,0.1765019001104048,0.0,0.0,0.05883396670346825,0.0,0.0,0.0,0.05883396670346825,0.05883396670346825,0.0,0.05883396670346825,0.05883396670346825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05883396670346825,0.05883396670346825,0.05883396670346825,0.0,0.0,0.0,0.2026503297563907,0.0,0.0784452889379577,0.0,0.0,0.0,0.0,0.0,0.11766793340693653,0.0,0.0,0.05883396670346825
14,Web dev - Technical,0.0,0.0,0.0,0.05776901267287345,0.0,0.0,0.0,0.30039886589894194,0.0,0.0,0.0,0.4951629657674866,0.0,0.0,0.7239465953211681,0.0,0.0,0.3158039359450415,0.0,1.2820068047513011,0.0,0.05776901267287345,0.05776901267287345,0.05776901267287345,0.0,0.8108642012455541,0.0,0.24070421947030604,0.0,0.18293520679743255,0.0,0.0,0.0,0.0,0.263169946620868,0.11553802534574688,0.14923661607158975,0.0,0.05776901267287345,0.05776901267287345,0.0,0.0,0.05776901267287345,0.0,0.0,0.0,0.7998786370090171,0.05776901267287345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23107605069149376,0.0,0.0,0.11553802534574688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34276280852571583,0.0,0.05776901267287345,0.0,0.0,0.18614459639037004,0.0,0.0,0.0,0.0,0.19898215476211964,0.11553802534574688,0.0,0.05776901267287345,0.0,0.0,0.0,0.05776901267287345,0.5451950571002433,0.2888450633643673,0.05776901267287345,0.05776901267287345,0.0,0.37228919278073996,0.0,10.0,0.0,0.0,0.05776901267287345,0.18828418945232836,0.8911240518974529,0.0,0.05776901267287345,0.17330703801862032,0.0,0.0,0.11553802534574688,0.2490486324119433,0.3217413066919757,0.0,0.0,0.0,0.4637567961794563,0.0,0.05776901267287345,0.0,0.05776901267287345,0.05776901267287345,0.0,0.17330703801862032,0.0,0.4364769846394884,0.0,0.0,0.05776901267287345,0.0,0.05776901267287345,0.0,0.0,0.7328106237207097,0.0,0.0,0.0,0.0,0.0,0.05776901267287345,0.0,0.0,0.0,0.0,0.11553802534574688,0.0,0.05776901267287345,0.17330703801862032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05776901267287345,0.0,0.13479436290337138,0.11553802534574688
